TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,20/08/05
TIME,10:08:31
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,0.482117
XUNITS,1/CM
YUNITS,TRANSMITTANCE
FIRSTX,  499.9551
LASTX, 7800.1667
NPOINTS,   15143
FIRSTY,    -0.00000
MAXY,   137.69814
MINY,    -0.00000
XYDATA
499.9550,-1.17549E-038
500.4372,-1.17549E-038
500.9193,0.0246396
501.4014,0.177896
501.8835,0.283027
502.3656,0.312741
502.8477,0.275255
503.3299,0.207079
503.8120,0.147417
504.2941,0.118529
504.7762,0.121625
505.2583,0.141762
505.7404,0.156938
506.2226,0.151517
506.7047,0.129952
507.1868,0.118151
507.6689,0.14502
508.1510,0.218517
508.6331,0.317521
509.1153,0.402611
509.5974,0.435145
510.0795,0.395612
510.5616,0.29436
511.0437,0.167194
511.5258,0.0560522
512.0080,-1.17549E-038
512.4901,-1.17549E-038
512.9722,-1.17549E-038
513.4543,0.0377688
513.9365,0.0913666
514.4186,0.139874
514.9007,0.171923
515.3828,0.178383
515.8649,0.155248
516.3470,0.108234
516.8292,0.0545938
517.3113,0.0167609
517.7934,0.00998983
518.2755,0.0347982
518.7576,0.0800893
519.2397,0.131622
519.7219,0.178524
520.2040,0.215002
520.6861,0.238028
521.1682,0.244124
521.6503,0.228813
522.1324,0.190018
522.6146,0.133134
523.0967,0.0731285
523.5788,0.030462
524.0609,0.0226312
524.5430,0.0560421
525.0251,0.120949
525.5073,0.191417
525.9894,0.234967
526.4715,0.231523
526.9536,0.18602
527.4357,0.120941
527.9178,0.0586588
528.4000,0.0102794
528.8821,-1.17549E-038
529.3642,-1.17549E-038
529.8463,-1.17549E-038
530.3284,-1.17549E-038
530.8105,-1.17549E-038
531.2927,-1.17549E-038
531.7748,0.0165943
532.2569,0.117507
532.7390,0.211793
533.2211,0.268126
533.7032,0.269799
534.1854,0.223357
534.6675,0.155227
535.1496,0.0986555
535.6317,0.0777381
536.1138,0.0964441
536.5959,0.138522
537.0781,0.178263
537.5602,0.195221
538.0423,0.183912
538.5244,0.154173
539.0065,0.124208
539.4886,0.111411
539.9708,0.125432
540.4529,0.165743
540.9350,0.22347
541.4171,0.285477
541.8992,0.338269
542.3813,0.370402
542.8635,0.373662
543.3456,0.344144
543.8277,0.283877
544.3098,0.202347
544.7919,0.116103
545.2740,0.0445198
545.7562,0.00192636
546.2383,-1.17549E-038
546.7204,-1.17549E-038
547.2025,0.0118865
547.6846,0.0214473
548.1667,0.0306564
548.6489,0.0488924
549.1310,0.0800944
549.6131,0.114611
550.0952,0.13263
550.5773,0.11904
551.0594,0.0783876
551.5416,0.035972
552.0237,0.0223743
552.5058,0.0524778
552.9879,0.113658
553.4700,0.171179
553.9521,0.188179
554.4343,0.147911
554.9164,0.0631935
555.3985,-1.17549E-038
555.8806,-1.17549E-038
556.3627,-1.17549E-038
556.8448,-1.17549E-038
557.3270,-1.17549E-038
557.8091,-1.17549E-038
558.2912,-1.17549E-038
558.7733,0.0849675
559.2554,0.17597
559.7375,0.25245
560.2197,0.292366
560.7018,0.283428
561.1839,0.230828
561.6660,0.155458
562.1481,0.0836177
562.6302,0.0348266
563.1124,0.0152044
563.5945,0.0195446
564.0766,0.0385828
564.5587,0.064482
565.0408,0.0905316
565.5229,0.107649
566.0051,0.10399
566.4872,0.0713613
566.9693,0.0149882
567.4514,-1.17549E-038
567.9335,-1.17549E-038
568.4156,-1.17549E-038
568.8978,0.0289374
569.3799,0.124893
569.8620,0.205968
570.3441,0.246505
570.8262,0.24306
571.3083,0.210437
571.7905,0.168652
572.2726,0.131286
572.7547,0.101846
573.2368,0.0777379
573.7189,0.056417
574.2010,0.0384165
574.6832,0.0263091
575.1653,0.0220921
575.6474,0.0255206
576.1295,0.0341678
576.6116,0.0445898
577.0938,0.0536104
577.5759,0.0592782
578.0580,0.0616298
578.5401,0.0632346
579.0222,0.0689496
579.5043,0.0842165
579.9865,0.11203
580.4686,0.150218
580.9507,0.191466
581.4328,0.226652
581.9149,0.248796
582.3970,0.25463
582.8792,0.243926
583.3613,0.218893
583.8434,0.184773
584.3255,0.150286
584.8076,0.12555
585.2897,0.117183
585.7719,0.123962
586.2540,0.137104
586.7361,0.145529
587.2182,0.14243
587.7003,0.128826
588.1824,0.11177
588.6646,0.098552
589.1467,0.091429
589.6288,0.0871233
590.1109,0.0809192
590.5930,0.0714061
591.0751,0.0617865
591.5573,0.0563831
592.0394,0.0551833
592.5215,0.0522722
593.0036,0.0408672
593.4857,0.0203988
593.9678,-1.17549E-038
594.4500,-1.17549E-038
594.9321,0.000844397
595.4142,0.031303
595.8963,0.0683097
596.3784,0.0964256
596.8605,0.107705
597.3427,0.106355
597.8248,0.104522
598.3069,0.112705
598.7890,0.131503
599.2711,0.150144
599.7532,0.153059
600.2354,0.130628
600.7175,0.086783
601.1996,0.0376999
601.6817,0.00254255
602.1638,-1.17549E-038
602.6459,0.0105016
603.1281,0.0458138
603.6102,0.0891663
604.0923,0.134491
604.5744,0.180482
605.0565,0.226097
605.5386,0.265271
606.0208,0.286315
606.5029,0.277623
606.9850,0.235897
607.4671,0.170677
607.9492,0.101567
608.4313,0.04985
608.9135,0.0298975
609.3956,0.0451611
609.8777,0.0895486
610.3598,0.151247
610.8419,0.215789
611.3240,0.267964
611.8062,0.294454
612.2883,0.28822
612.7704,0.252496
613.2525,0.200574
613.7346,0.149704
614.2167,0.112143
614.6989,0.0894088
615.1810,0.0739197
615.6631,0.0566661
616.1452,0.0354502
616.6273,0.0180639
617.1094,0.0176955
617.5916,0.0427258
